,middle_band,price,upper_band,lower_band
233,1912.5142857142853,1880.4,1980.3709607849453,1844.6576106436253
234,1917.1642857142851,1899.35,1968.9330085045704,1865.395562924
235,1921.9928571428566,1917.8,1956.6328930537618,1887.3528212319513
236,1920.8678571428566,1899.85,1957.3749609223999,1884.3607533633133
237,1917.6178571428566,1892.1,1955.7723932607335,1879.4633210249797
238,1914.5392857142851,1901.15,1950.318441196629,1878.7601302319413
239,1913.228571428571,1907.7,1948.5325636692319,1877.9245791879102
240,1911.8321428571421,1905.1,1946.7343492485122,1876.929936465772
241,1907.8999999999994,1874.3,1946.5079107078789,1869.29208929212
242,1903.8321428571423,1857.4,1950.6421944920505,1857.0220912222342
243,1900.4142857142854,1895.45,1941.4408892514912,1859.3876821770796
244,1895.6535714285712,1868.4,1934.7916792458045,1856.515463611338
245,1890.1,1849.1,1932.127646578413,1848.0723534215867
246,1884.6785714285713,1837.4,1932.9346625432408,1836.4224803139018
247,1883.3285714285714,1861.5,1933.1329227102656,1833.5242201468773
248,1880.8392857142858,1864.5,1930.6778432092997,1831.0007282192719
249,1879.707142857143,1901.95,1926.5595766194094,1832.8547090948766
250,1881.1428571428573,1919.95,1931.7366673015183,1830.5490469841964
251,1893.6000000000004,2066.5,2005.071031076364,1782.1289689236366
252,1911.3500000000004,2149.65,2088.052744743812,1734.6472552561886
253,1925.4750000000004,2105.45,2130.298236174316,1720.6517638256844
254,1942.9178571428577,2149.3,2179.410665968771,1706.4250483169442
255,1957.496428571429,2078.4,2200.832392792735,1714.160464350123
256,1974.4500000000005,2094.75,2220.7990893958213,1728.10091060418
257,1990.2035714285719,2116.0,2242.915960288937,1737.4911825682066
258,2006.3857142857146,2094.95,2254.4714204084444,1758.3000081629848
259,2022.671428571429,2077.1,2255.7608822294383,1789.5819749134198
260,2042.7607142857146,2118.65,2254.5741488075873,1830.9472797638418
261,2060.503571428572,2109.9,2247.0148103734214,1873.9923324837225
262,2075.710714285715,2077.4,2224.2279247806005,1927.1935037908293
