,middle_band,price,upper_band,lower_band,call,calls
181,1650.9000000000005,1596.45,1716.7813969306735,1585.0186030693278,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
182,1641.678571428572,1600.35,1695.1744478229934,1588.1826950341504,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
183,1642.0000000000007,1633.4,1695.2184901355365,1588.7815098644644,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
184,1647.0000000000007,1674.95,1698.344013208028,1595.655986791973,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
185,1646.6178571428575,1656.8,1697.5541613659802,1595.6815529197347,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
186,1646.5178571428573,1640.25,1697.5016495470175,1595.534064738697,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
187,1646.3178571428573,1659.35,1697.0588829828534,1595.5768313028616,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
188,1646.142857142857,1636.95,1697.0034185170214,1595.2822957686926,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
189,1645.7107142857144,1637.75,1696.7594870212133,1594.6619415502155,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
190,1642.025,1618.35,1692.9859465858076,1591.0640534141926,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
191,1638.525,1628.05,1685.7148253374924,1591.3351746625076,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
192,1637.0214285714285,1654.2,1680.3544451946545,1593.6884119482024,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
193,1638.6321428571425,1665.25,1684.4779480866434,1592.7863376276416,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
194,1641.6285714285714,1680.7,1692.6940303895904,1590.5631124675522,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
195,1649.7464285714286,1710.1,1705.7673101766172,1593.7255469662396,Short,Short
196,1658.7392857142856,1726.25,1720.7074931779694,1596.7710782506024,Short,Short
197,1662.6321428571425,1687.9,1724.590684916041,1600.6736007982447,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
198,1659.5535714285709,1631.85,1723.1373679165326,1595.969774940609,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
199,1659.5892857142856,1657.3,1723.1669811085565,1596.0115903200146,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
200,1664.1821428571427,1704.55,1730.9516385078425,1597.412647206443,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
201,1666.7714285714285,1695.6,1735.5160139725806,1598.026843170276,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
202,1670.2249999999995,1685.3,1737.3549973071633,1603.0950026928358,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
203,1677.6428571428567,1741.6,1751.8884771342764,1603.3972371514367,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
204,1688.6499999999994,1772.45,1770.3471706505547,1606.9528293494445,Short,Short
205,1698.6142857142856,1767.55,1782.4726317378052,1614.7559396907654,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
206,1710.3571428571427,1818.6,1811.6535689247191,1609.0607167895655,Short,Short
207,1722.4285714285709,1834.25,1839.6041183281127,1605.2530245290286,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
208,1734.5357142857138,1850.2,1867.1484612572567,1601.9229673141706,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
209,1749.2142857142844,1915.6,1912.1920398761526,1586.2365315524173,Short,Short
210,1764.3107142857134,1937.6,1954.9346863780545,1573.6867421933728,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
211,1782.621428571428,1944.25,1990.1285877223804,1575.1142694204755,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
212,1803.635714285713,1926.05,2004.8625645684801,1602.4088640029474,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
213,1822.7321428571427,1924.65,2014.665370858409,1630.7989148558756,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
214,1838.7892857142847,1929.35,2025.6791223666653,1651.899449061905,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
215,1854.4142857142847,1914.35,2025.6574031664106,1683.1711682621594,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
216,1872.8428571428565,1943.3,2019.4455376574465,1726.2401766282667,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
217,1886.6607142857129,1935.05,2015.3488894556506,1757.972539115777,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
218,1897.689285714285,1926.85,2009.5826152643485,1785.7959561642215,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
219,1908.0999999999995,1913.3,1991.2689291095385,1824.93107089046,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
220,1912.5142857142853,1880.4,1980.3709607849453,1844.6576106436253,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
221,1917.1642857142847,1899.35,1968.9330085045706,1865.395562924,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
222,1921.9928571428568,1917.8,1956.6328930537616,1887.3528212319518,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
223,1920.8678571428568,1899.85,1957.3749609223999,1884.3607533633133,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
224,1917.6178571428568,1892.1,1955.7723932607328,1879.4633210249801,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
225,1914.5392857142847,1901.15,1950.318441196629,1878.7601302319413,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
