,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Per_Change_OpenandClose,Per_Change_LowandHigh,Rolling_Mean_5days,Rolling_Std_5days,Action,Actions,cummulative_returns
260,BAJFINANCE,EQ,30-May-2018,2077.1,2063.3,2130.0,2056.25,2130.0,30-May-2018,2100.07,1251508,2628260085.9,53403,298001,23.81,2.0003851523759275,2.6825958416129447,3.586626139817639,0.3909276693579196,1.2846171320870203,-1,-1,54.18910502118314
261,BAJFINANCE,EQ,31-May-2018,2118.65,2142.5,2145.0,2101.0,2111.35,31-May-2018,2121.83,1323397,2808022033.5,67410,493442,37.29,-0.4129988436032406,-1.5215869311551833,2.0942408376963373,0.1509953371268809,1.3041106753917142,-1,-1,53.7761061775799
262,BAJFINANCE,EQ,01-Jun-2018,2109.9,2120.0,2120.0,2065.8,2078.0,01-Jun-2018,2088.53,604574,1262671755.9,26591,200124,33.1,-1.5403573629081957,-2.009433962264151,2.623680898441272,-0.3599643082677432,1.3795430037244358,-1,-1,52.2357488146717
263,BAJFINANCE,EQ,04-Jun-2018,2077.4,2090.2,2098.75,2055.3,2057.0,04-Jun-2018,2073.84,513152,1064192801.25,23021,156624,30.52,-0.7003947241744579,-1.3084872261027614,2.114046611200293,-0.3010829506451655,1.351674435430899,1,1,51.53535409049724
264,BAJFINANCE,EQ,05-Jun-2018,2062.85,2065.0,2119.55,2055.0,2114.25,05-Jun-2018,2083.92,816879,1702311602.15,41227,281192,34.42,1.8299924861235661,1.723970944309916,3.141119221411204,0.2353253415627206,1.589602528554012,1,1,53.36534657662081
265,BAJFINANCE,EQ,06-Jun-2018,2100.6,2122.0,2172.9,2107.0,2168.25,06-Jun-2018,2142.7,1802977,3863242919.6,73745,466140,25.85,2.8587070360849287,1.8213949104618266,3.1276696725201836,0.40698971830452085,1.8524778597419687,1,1,56.22405361270574
266,BAJFINANCE,EQ,07-Jun-2018,2160.65,2172.0,2197.2,2160.15,2167.0,07-Jun-2018,2181.8,1489413,3249606089.3,71154,347209,23.31,0.4072848448383404,-0.11740331491713052,1.7151586695368204,0.571046455992837,1.7972021771960014,1,1,56.631338457544075
267,BAJFINANCE,EQ,08-Jun-2018,2169.45,2164.9,2219.95,2147.05,2210.0,08-Jun-2018,2190.2,3039595,6657313397.35,77464,1252757,41.21,0.8020466016732453,1.013903644510128,3.3953564192729324,1.0395272489091252,1.3617733270490842,1,1,57.43338505921732
268,BAJFINANCE,EQ,11-Jun-2018,2186.85,2210.0,2258.5,2196.2,2250.0,11-Jun-2018,2236.24,2059581,4605716851.45,75808,833684,40.48,2.9014335688319015,1.8235294117647127,2.836717967398239,1.759892907510397,1.1470003965058622,1,1,60.33481862804922
269,BAJFINANCE,EQ,12-Jun-2018,2250.3,2255.0,2277.0,2236.0,2263.0,12-Jun-2018,2258.87,1655167,3738810728.35,60888,745760,45.06,0.4866017864284755,0.27716186252770836,1.8336314847942736,1.4912147675713787,1.2765046271006304,-1,-1,60.82142041447769
270,BAJFINANCE,EQ,13-Jun-2018,2261.25,2270.0,2271.6,2225.7,2233.2,13-Jun-2018,2242.65,1095372,2456532732.65,64896,517603,47.25,-1.3355444997235955,-1.715859030836997,2.0622725434694678,0.652364460409674,1.5099701912376058,1,1,59.4858759147541
271,BAJFINANCE,EQ,14-Jun-2018,2231.05,2235.0,2252.0,2197.0,2251.7,14-Jun-2018,2220.71,1321341,2934314587.5,41796,603530,45.68,0.5468277268550592,0.3691275167785335,2.5034137460173023,0.6802730368130178,1.5055912007149388,1,1,60.03270364160915
272,BAJFINANCE,EQ,15-Jun-2018,2243.25,2250.0,2291.55,2231.1,2279.0,15-Jun-2018,2273.28,1637500,3722495104.15,77355,623307,38.06,1.798729521899034,1.4933333333333243,2.7094258437542207,0.8796096208581755,1.5893914082062388,-1,-1,61.83143316350819
273,BAJFINANCE,EQ,18-Jun-2018,2283.6,2272.0,2296.0,2234.2,2239.65,18-Jun-2018,2265.07,1126877,2552451098.55,112369,505813,44.89,-1.7713259765282818,-1.2698063380281677,2.7660907707456994,-0.05494228821386118,1.4728723048060655,1,1,60.060107186979906
274,BAJFINANCE,EQ,19-Jun-2018,2243.15,2235.0,2281.0,2227.05,2269.45,19-Jun-2018,2268.85,1151582,2612771040.5,64250,395469,34.34,1.2237255644963474,1.592841163310954,2.422487146673835,0.09248246739971319,1.574044353329555,-1,-1,61.283832751476254
275,BAJFINANCE,EQ,20-Jun-2018,2270.6,2274.95,2302.1,2261.15,2268.7,20-Jun-2018,2284.95,1127273,2575766141.55,46257,444405,39.42,-0.12331542323613665,-0.31429262181584816,1.811025363200125,0.334928282697205,1.3805678495631597,-1,-1,61.16051732824012
276,BAJFINANCE,EQ,21-Jun-2018,2267.8,2277.0,2288.0,2250.1,2257.2,21-Jun-2018,2267.69,717023,1625983125.2,43732,252604,35.23,-0.4563894523326728,-0.8585858585858697,1.6843695835740746,0.13428484685965855,1.4145550352146712,1,1,60.704127875907446
277,BAJFINANCE,EQ,22-Jun-2018,2257.45,2267.0,2342.0,2250.55,2342.0,22-Jun-2018,2305.72,1714224,3952516033.2,61570,476196,27.78,3.4818046911338163,3.04587560652847,4.063451156383979,0.47089988070661504,1.9920359194231496,1,1,64.18593256704126
278,BAJFINANCE,EQ,25-Jun-2018,2336.05,2342.0,2399.0,2334.0,2385.05,25-Jun-2018,2379.12,2393535,5694509402.65,98474,867655,36.25,2.3351383746067045,2.0751494449188668,2.7849185946872357,1.2921927509336122,1.6543901361941311,-1,-1,66.52107094164796
279,BAJFINANCE,EQ,26-Jun-2018,2390.6,2385.0,2419.15,2344.55,2367.0,26-Jun-2018,2376.65,2337942,5556479984.5,120935,921045,39.4,-0.9725591901614705,-0.7400419287211801,3.181847262800952,0.8529358000020485,1.943431703540967,-1,-1,65.54851175148649
280,BAJFINANCE,EQ,27-Jun-2018,2367.35,2379.8,2379.8,2322.55,2336.0,27-Jun-2018,2339.39,1069126,2501097610.15,48300,523302,48.95,-1.34538619131096,-1.8615009664677773,2.4649630793739608,0.6085216463870838,2.161513872237021,-1,-1,64.20312556017552
281,BAJFINANCE,EQ,28-Jun-2018,2335.5,2337.0,2348.0,2253.8,2290.0,28-Jun-2018,2295.23,1713003,3931739916.4,56405,601254,35.1,-2.603296938557065,-2.66581086863501,4.179607773538008,0.17914014914220547,2.595595765090703,1,1,61.59982862161846
282,BAJFINANCE,EQ,29-Jun-2018,2274.7,2282.1,2320.0,2270.6,2299.0,29-Jun-2018,2298.76,1378421,3168656345.7,59912,507894,36.85,0.9517738602892623,0.6244248718285883,2.1756363956663582,-0.32686601702670537,1.959440486254596,1,1,62.55160248190772
283,BAJFINANCE,EQ,02-Jul-2018,2296.35,2300.0,2314.7,2281.1,2302.9,02-Jul-2018,2298.32,840376,1931453787.25,37151,288240,34.3,0.13935157968081313,-0.01956521739129302,1.4729735653851161,-0.7660233760118836,1.3715341422422356,1,1,62.690954061588535
284,BAJFINANCE,EQ,03-Jul-2018,2299.55,2305.0,2334.0,2285.75,2326.9,03-Jul-2018,2313.4,810667,1875395909.15,36557,228631,28.2,0.9371398751929716,0.6984815618221285,2.1109045171169294,-0.3840835629409952,1.5534752594610024,1,1,63.628093936781504
285,BAJFINANCE,EQ,04-Jul-2018,2321.1,2333.0,2345.0,2306.55,2326.3,04-Jul-2018,2329.71,916379,2134896393.3,33159,254318,27.75,0.4437551161087461,-0.06858122588940807,1.6669918276213336,-0.026255301457053994,1.4810596155005402,-1,-1,64.07184905289024
286,BAJFINANCE,EQ,05-Jul-2018,2331.4,2339.0,2349.0,2322.4,2329.0,05-Jul-2018,2335.77,688785,1608840631.75,26219,269751,39.16,-0.053615853135458025,-0.3783668234288107,1.1453668618670365,0.48368091562726734,0.45650317951689445,1,1,64.01823319975479
287,BAJFINANCE,EQ,06-Jul-2018,2330.15,2338.8,2355.0,2324.0,2345.7,06-Jul-2018,2343.93,690617,1618754748.9,26206,179892,26.05,0.6673390125099044,0.2950230887634575,1.3339070567986333,0.42679394607139576,0.3974981971085206,1,1,64.68557221226469
288,BAJFINANCE,EQ,09-Jul-2018,2345.7,2359.0,2363.2,2337.0,2344.45,09-Jul-2018,2350.69,551695,1296866603.1,26391,202430,36.69,0.1001833141493158,-0.464179737176762,1.1210954214805335,0.4189602929650963,0.40489622963836996,1,1,64.78575552641401
289,BAJFINANCE,EQ,10-Jul-2018,2348.05,2360.0,2382.0,2350.0,2367.0,10-Jul-2018,2370.44,784134,1858743299.8,45628,308333,39.32,0.7793701156278532,0.26906779661015623,1.3617021276595809,0.3874063410520726,0.357830521521281,-1,-1,65.56512564204186
290,BAJFINANCE,EQ,11-Jul-2018,2366.35,2365.9,2382.0,2345.0,2354.3,11-Jul-2018,2364.85,594805,1406621874.1,54305,255550,42.96,-0.45428613687746866,-0.43535229722305724,1.5778251599147142,0.2077980904548297,0.5138448581694044,1,1,65.11083950516439
291,BAJFINANCE,EQ,12-Jul-2018,2355.6,2375.0,2429.0,2360.35,2417.2,12-Jul-2018,2406.92,1396150,3360424150.65,69112,396651,28.41,2.52165053489557,1.6842105263157992,2.9084669646450845,0.7228513680610352,1.1197458019507183,1,1,67.63249004005996
